draw_number,date,day_of_week,num1,num2,num3,num4,num5,num6,additional_number,group1_prize,group1_winners,is_synthetic
3445,2019-02-01,Friday,5,11,16,17,22,27,10,0,0,False
3446,2019-02-04,Monday,6,15,21,30,46,47,34,0,0,False
3447,2019-02-07,Thursday,5,7,9,11,35,49,31,0,0,False
3448,2019-02-11,Monday,9,10,15,33,39,40,41,0,0,False
3449,2019-02-14,Thursday,2,10,12,20,24,32,31,0,0,False
3450,2019-02-18,Monday,25,26,29,31,46,49,21,0,0,False
3451,2019-02-22,Friday,5,8,14,16,34,39,23,0,0,False
3452,2019-02-25,Monday,9,12,27,28,38,44,10,0,0,False
3453,2019-02-28,Thursday,20,24,27,39,43,48,8,0,0,False
3454,2019-03-04,Monday,1,6,7,16,39,40,12,0,0,False
3455,2019-03-07,Thursday,1,2,13,29,41,43,34,0,0,False
3456,2019-03-11,Monday,6,23,26,27,34,49,32,0,0,False
3457,2019-03-14,Thursday,2,4,17,21,25,46,44,0,0,False
3458,2019-03-18,Monday,2,5,8,17,43,47,25,0,0,False
3459,2019-03-21,Thursday,2,5,12,13,15,31,36,0,0,False
3460,2019-03-25,Monday,6,13,23,26,34,37,15,0,0,False
3461,2019-03-28,Thursday,2,15,20,26,29,44,43,0,0,False
3462,2019-04-01,Monday,7,12,22,30,31,36,2,0,0,False
3463,2019-04-04,Thursday,4,17,20,21,33,39,27,0,0,False
3464,2019-04-08,Monday,9,19,20,24,28,49,36,0,0,False
3465,2019-04-11,Thursday,5,12,13,17,29,47,4,0,0,False
3466,2019-04-15,Monday,8,19,25,34,35,47,30,0,0,False
3467,2019-04-18,Thursday,6,15,28,33,45,47,43,0,0,False
3468,2019-04-22,Monday,12,13,19,23,24,44,14,0,0,False
3469,2019-04-25,Thursday,1,7,14,15,32,38,39,0,0,False
3470,2019-04-29,Monday,4,10,26,31,39,48,19,0,0,False
3471,2019-05-02,Thursday,10,15,24,35,42,47,11,0,0,False
3472,2019-05-06,Monday,5,6,13,26,32,41,18,0,0,False
3473,2019-05-09,Thursday,5,10,11,18,26,49,4,0,0,False
3474,2019-05-13,Monday,2,3,19,21,23,31,1,0,0,False
3475,2019-05-16,Thursday,5,7,9,15,38,45,29,0,0,False
3476,2019-05-20,Monday,7,18,24,46,47,48,10,0,0,False
3477,2019-05-23,Thursday,12,20,22,31,32,46,38,0,0,False
